,ID,0,1,2,3,4,5,6,7
1261,3629,Action,Adventure,Sci-Fi,Thriller,,,,
1265,3635,Drama,Sport,,,,,,
1268,3638,Documentary,,,,,,,
1269,3639,Comedy,Drama,Western,,,,,
1270,3642,Drama,Romance,,,,,,
1274,3651,Crime,Drama,Western,,,,,
1276,3653,Adventure,Drama,Thriller,,,,,
1279,3657,Drama,Western,,,,,,
1280,3658,Comedy,,,,,,,
1283,3662,Documentary,News,,,,,,
1287,3666,Action,Crime,Drama,Romance,Thriller,,,
1288,3667,Biography,Drama,War,,,,,
1295,3677,Biography,Drama,Family,Music,,,,
1297,3680,Biography,Drama,Romance,,,,,
1299,3682,Documentary,,,,,,,
1300,3683,Comedy,Drama,,,,,,
1301,3684,Crime,Drama,Thriller,,,,,
1302,3685,Action,Biography,Drama,History,Romance,Thriller,War,
1303,3686,Animation,Adventure,Comedy,Family,Fantasy,,,
1305,3688,Comedy,Drama,Romance,,,,,
1307,3690,Crime,Mystery,Thriller,,,,,
1308,3691,Comedy,,,,,,,
1311,3695,Crime,Drama,Thriller,,,,,
1312,3697,Sci-Fi,Thriller,,,,,,
1313,3698,Comedy,Drama,Fantasy,Sci-Fi,Thriller,,,
1314,3699,Drama,Mystery,,,,,,
1315,3700,Horror,Mystery,,,,,,
1317,3705,Drama,Sci-Fi,Thriller,Western,,,,
1318,3706,Drama,Thriller,,,,,,
1319,3707,Comedy,Drama,Romance,,,,,
1321,3709,Biography,Drama,History,Romance,,,,
1326,3715,Drama,Fantasy,Thriller,,,,,
1328,3719,Action,Thriller,,,,,,
1329,3720,Drama,Mystery,Sci-Fi,Thriller,,,,
1330,3722,Crime,Drama,Thriller,,,,,
1332,3724,Horror,Thriller,,,,,,
1333,3725,Comedy,Drama,Music,,,,,
1335,3727,Drama,Mystery,Thriller,,,,,
1337,3729,Biography,Drama,Sport,Thriller,,,,
1339,3731,Drama,,,,,,,
1341,3733,Comedy,Romance,,,,,,
1344,3738,Biography,Drama,History,Thriller,War,,,
1346,3742,Action,Horror,Sci-Fi,Thriller,,,,
1347,3745,Action,Mystery,Thriller,,,,,
1349,3749,Comedy,Drama,,,,,,
1352,3754,Crime,Mystery,Thriller,,,,,
1353,3755,Documentary,Crime,History,,,,,
1358,3760,Drama,,,,,,,
1360,3764,Drama,Fantasy,Romance,,,,,
1361,3766,Biography,Drama,Sport,,,,,
1363,3769,Documentary,Biography,Comedy,History,,,,
1364,3770,Documentary,Music,,,,,,
1367,3773,Crime,Drama,Thriller,,,,,
1371,3779,Action,Crime,Drama,Thriller,,,,
1374,3783,Documentary,,,,,,,
1377,3787,Comedy,Drama,,,,,,
1380,3794,Drama,Romance,,,,,,
1382,3798,Drama,Western,,,,,,
1384,3801,Crime,Mystery,Thriller,,,,,
1389,3806,Adventure,Mystery,Sci-Fi,,,,,
1390,3809,Fantasy,Horror,Thriller,,,,,
1391,3811,Action,Comedy,,,,,,
1392,3812,Horror,Thriller,,,,,,
1395,3816,Documentary,Music,,,,,,
1398,3819,Drama,Horror,Mystery,Thriller,,,,
1400,3822,Drama,Romance,,,,,,
1402,3826,Comedy,Drama,Family,Romance,,,,
1403,3827,Action,Comedy,Crime,Drama,Horror,Thriller,,
1406,3830,Drama,Horror,Mystery,Thriller,,,,
1416,3840,Action,Adventure,Comedy,Horror,Sci-Fi,Thriller,,
1419,3843,Crime,Drama,Western,,,,,
1425,3852,Biography,Drama,History,,,,,
1426,3853,Documentary,Biography,,,,,,
1428,3857,Adventure,Drama,Sci-Fi,War,,,,
1430,3861,Documentary,,,,,,,
1431,3863,Comedy,Drama,Romance,,,,,
1432,3864,Crime,Drama,Thriller,,,,,
1433,3865,Horror,Mystery,Thriller,,,,,
1434,3866,Comedy,Romance,,,,,,
1435,3869,Action,Adventure,Fantasy,Sci-Fi,,,,
1436,3870,Comedy,Drama,,,,,,
1437,3871,Documentary,Music,,,,,,
1439,3873,Comedy,Crime,Drama,,,,,
1442,3876,Comedy,Horror,Thriller,,,,,
1443,3877,Drama,Romance,,,,,,
1445,3879,Drama,Horror,Sci-Fi,,,,,
1446,3881,Documentary,,,,,,,
1447,3882,Drama,Sport,,,,,,
1449,3884,Drama,Sci-Fi,,,,,,
1450,3885,Drama,Romance,,,,,,
1453,3889,Action,Sci-Fi,,,,,,
1455,3892,Drama,,,,,,,
1458,3896,Animation,Adventure,Comedy,Family,Fantasy,,,
1459,3897,Comedy,Romance,,,,,,
1460,3899,Biography,Drama,Music,,,,,
1462,3903,Comedy,Drama,Music,Romance,,,,
1465,3906,Drama,Sci-Fi,,,,,,
1473,3919,Documentary,,,,,,,
1474,3920,Horror,Thriller,,,,,,
1476,3924,Comedy,Crime,,,,,,
1484,3937,Action,Adventure,Drama,Fantasy,Horror,Sci-Fi,Thriller,
1485,3938,Horror,Thriller,,,,,,
1486,3941,Drama,,,,,,,
1487,3942,Drama,Romance,War,,,,,
