1387,Thriller,3
1409,Horror,6
1409,Mystery,10
1409,Thriller,3
1420,Horror,6
1421,Crime,7
1421,Drama,1
1421,Mystery,10
1421,Thriller,3
1428,Action,5
1428,Crime,7
1428,Drama,1
1428,Thriller,3
1430,Comedy,2
1430,Drama,1
1430,Romance,4
1437,Crime,7
1437,Drama,1
1437,Mystery,10
1437,Thriller,3
1439,Action,5
1439,Adventure,8
1439,Drama,1
1439,History,15
1449,Comedy,2
1449,Drama,1
1453,Action,5
1453,Crime,7
1453,Drama,1
1453,Thriller,3
1456,Crime,7
1456,Drama,1
1456,Mystery,10
1456,Romance,4
1456,Thriller,3
1457,Action,5
1457,Drama,1
1457,History,15
