,ID,title,music_director,album_name,track_name,preview_url,popularity,acousticness,danceability,energy,tempo,valence,instrumentalness,liveness,loudness,speechiness
3422,9782,Bernadette,Francis Lai,Bernadette (Bande originale du film de Jean Delannoy),G챕n챕rique fin,https://p.scdn.co/mp3-preview/c441e696142d2c85a60f976e42a3c6750c40637d?cid=0e18970867524f1fba6634279dd9e5b2,9,0.3,0.25,0.233,57.982,0.1,0.305,0.0707,-13.996,0.0308
3426,9806,All's Faire in Love,Jeff Cardoni,All's Faire in Love (Original Motion Picture Soundtrack),The Faire Theme,https://p.scdn.co/mp3-preview/49c748734f2418d4e8c8fe59eb396d77e8cb939f?cid=0e18970867524f1fba6634279dd9e5b2,0,0.371,0.424,0.566,94.432,0.444,0.00156,0.293,-9.462,0.0484
3429,9843,The Lion of Judah,Greg Sims,The Lion of Judah (Original Motion Picture Score),Main Title,https://p.scdn.co/mp3-preview/6bb319badf491cc4d7818ca9780c53833222f5f5?cid=0e18970867524f1fba6634279dd9e5b2,0,0.898,0.199,0.133,49.952,0.0398,0.769,0.111,-19.492,0.0322
3434,9883,The Divine Tragedies,Michael John Mollo,The Divine Tragedies (Original Motion Picture Soundtrack),The Epitome of Evil,https://p.scdn.co/mp3-preview/cfdf1d82b143f1174a98dc78afbdb7e42ffea578?cid=0e18970867524f1fba6634279dd9e5b2,2,0.863,0.0719,0.115,72.411,0.0369,0.899,0.112,-27.204,0.0392
3435,9889,The Giant Spider,The Night Hobs,The Giant Spider (Original Motion Picture Soundtrack),The Giant Spider Theme,https://p.scdn.co/mp3-preview/a30048d1a84e820db03cbbfa0252115d9c9a0d37?cid=0e18970867524f1fba6634279dd9e5b2,0,0.0734,0.715,0.592,135.064,0.947,1.06E-06,0.481,-12.689,0.031
3445,9943,Vigil,Glenn Gregory,Vigil (Original TV Soundtrack),Butterfly,https://p.scdn.co/mp3-preview/8fbcde720e17c917377cd1cfabee391cfb6d67de?cid=0e18970867524f1fba6634279dd9e5b2,16,0.973,0.204,0.02,141.808,0.163,0.963,0.0836,-33.443,0.0383
3448,9963,Dinotasia,Mark Leggett,Dinotasia (Original Score),Titans Approach,https://p.scdn.co/mp3-preview/329fcc23bfded0323a3ce7c6b1652920d61cc8dc?cid=0e18970867524f1fba6634279dd9e5b2,1,0.443,0.559,0.213,125.698,0.164,0.921,0.143,-18.356,0.0349
3449,9966,Pablo,Lior Ron,Pablo: Original Motion Picture Soundtrack,Thomas Crown Affair,https://p.scdn.co/mp3-preview/9dfe1071f14c2b7ceeca88bbd53c2d9433326fe1?cid=0e18970867524f1fba6634279dd9e5b2,2,0.913,0.476,0.281,123.28,0.11,0.92,0.111,-13.58,0.0397
3451,9978,One Shot,James Schafer,One Shot (Original Motion Picture Soundtrack),Opening / Planetary Attack,https://p.scdn.co/mp3-preview/92de3b6ba91dd27c6d6b3db0cb76baa1281030eb?cid=0e18970867524f1fba6634279dd9e5b2,0,0.848,0.167,0.143,82.424,0.0514,0.959,0.0971,-20.709,0.0399
3454,9990,The Mason Brothers,Federico Vaona,The Mason Brothers (Original Motion Picture Soundtrack),The Mason Brothers (Main Titles),https://p.scdn.co/mp3-preview/37b1bc9b70af87651375edc9023e6e825f8c2e31?cid=0e18970867524f1fba6634279dd9e5b2,0,0.42,0.506,0.601,160.022,0.0382,0.865,0.0547,-9.022,0.0435
3463,10095,Deadtime Stories,Larry Juris,Deadtime Stories (Original Motion Picture Soundtrack),Bed Time Tales,https://p.scdn.co/mp3-preview/ead6b524ad19180e96b96606a69cae1c1e5cbdbc?cid=0e18970867524f1fba6634279dd9e5b2,5,0.6,0.642,0.669,104.189,0.54,0.000212,0.0894,-7.196,0.0277
3465,10106,Drive Hard,Bryce Jacobs,Drive Hard (Original Motion Picture Soundtrack),"Bitter Scar (""Drive Hard"" Version) - ""Drive Hard"" Version",,1,0.0317,0.534,0.676,151.965,0.595,4.67E-06,0.0535,-8.62,0.0425
3476,10217,Nerve,Rob Simonsen,Nerve (Original Motion Picture Soundtrack),Night Drive,https://p.scdn.co/mp3-preview/f50e4be61777496df44049d8d8dd1a2dc4e297ee?cid=0e18970867524f1fba6634279dd9e5b2,46,0.0981,0.701,0.715,102.994,0.56,0.823,0.106,-6.298,0.0387
3477,10229,American Violence,Andrew Joslyn,American Violence (Original Motion Picture Soundtrack,American Violence,,0,0.0713,0.24,0.09,109.577,0,0.981,0.106,-20.413,0.0429
3483,10293,The Highest Pass,Michael Mollura,The Highest Pass (Original Motion Picture Soundtrack),Nubra Drive,https://p.scdn.co/mp3-preview/af2515b90e53c9913d304d0391e8f429906853a5?cid=0e18970867524f1fba6634279dd9e5b2,5,0.367,0.574,0.56,93.024,0.164,0.702,0.168,-10.535,0.0527
3485,10326,What Happens Next,Kerry Muzzey,What Happens Next (Original Motion Picture Soundtrack),You Can't Have It All,https://p.scdn.co/mp3-preview/6472bb33b089c68a31b8a1bccf9cdbcbfea6cfbf?cid=0e18970867524f1fba6634279dd9e5b2,0,0.745,0.487,0.149,127.833,0.283,0.00212,0.119,-17.562,0.0357
3488,10348,Tonight She Comes,Wojciech Golczewski,Tonight She Comes (Original Motion Picture Soundtrack),She Comes,https://p.scdn.co/mp3-preview/ce204cb7940ee89e1c8e0e67b0c00f9e883bb073?cid=0e18970867524f1fba6634279dd9e5b2,28,0.000128,0.515,0.399,105,0.119,0.969,0.11,-7.901,0.0337
3494,10390,Hard Boiled Sweets,Tom E. Morrison,Hard Boiled Sweets (Original Motion Picture Soundtrack),Deep Pools Of Light,https://p.scdn.co/mp3-preview/76ddcb1dce9cfc5b868e6898d71e4cbcc8ae1f33?cid=0e18970867524f1fba6634279dd9e5b2,2,0.0043,0.516,0.906,134.998,0.7,0.919,0.114,-11.219,0.0548
3498,10434,Hidden Moon,Luis Bacalov,Hidden Moon (Original Motion Picture Soundtrack),Have You Ever Seen The Moon?,,8,0.883,0.129,0.169,76.773,0.0662,0.914,0.238,-16.064,0.0352
3499,10437,Free Fall,Durbeck & Dohmen,Free Fall (Original Motion Picture Soundtrack),"Back on the Track (Theme from ""Free Fall"")",https://p.scdn.co/mp3-preview/b359e7c4c9de42ab14e5e9f4cf98cfa5ca0ca8b3?cid=0e18970867524f1fba6634279dd9e5b2,8,0.891,0.655,0.225,99.906,0.163,0.933,0.0979,-14.577,0.0381
3501,10459,In the Blood,Paul Haslinger,In the Blood (Original Motion Picture Soundtrack),Cock Fight,https://p.scdn.co/mp3-preview/3a3be398ba677c4a2fcaf6b285a9095c8467a838?cid=0e18970867524f1fba6634279dd9e5b2,0,0.0413,0.683,0.562,139.979,0.448,0.761,0.1,-13.497,0.074
3502,10461,Love Eternal,Bart Westerlaken,Love Eternal: Original Motion Picture Soundtrack,Main Titles,https://p.scdn.co/mp3-preview/0bba9649ef6c3ef449cb483775ce0f45fdc87644?cid=0e18970867524f1fba6634279dd9e5b2,0,0.727,0.598,0.464,119.98,0.361,0.783,0.0571,-15.622,0.0342
3506,10498,The Pineville Heist,Fabio Acri,The Pineville Heist (Motion Picture Original Score),The Morning Ride,https://p.scdn.co/mp3-preview/99fbb763ae2904d0bc50b387607268a8a2f78124?cid=0e18970867524f1fba6634279dd9e5b2,0,0.853,0.199,0.0282,112.166,0.0382,0.332,0.115,-20.959,0.0443
3508,10520,Good Enough,Joshua Moshier,Good Enough (Original Motion Picture Soundtrack),Good Enough Opening Titles,https://p.scdn.co/mp3-preview/5dc7df611ae367979f43bde6683202a8f15aad84?cid=0e18970867524f1fba6634279dd9e5b2,0,0.961,0.565,0.177,77.317,0.0558,0.801,0.119,-20.044,0.0753
3510,10528,Mandie and the Cherokee Treasure,Owen Smith,Mandie and the Cherokee Treasure (Original Motion Picture Soundtrack),Mandie and the Cherokee Treasure (Main Theme),https://p.scdn.co/mp3-preview/a0d615260f18d7c30f8e37b42223c8bebddca753?cid=0e18970867524f1fba6634279dd9e5b2,2,0.87,0.417,0.135,139.437,0.33,0.732,0.0756,-24.355,0.0361
3520,10581,Big Bad Mama II,Chuck Cirino,Big Bad Mama II (Original Motion Picture Soundtrack),Big Bad Mama II Theme,https://p.scdn.co/mp3-preview/1fe2789ae968c94ebbacea3e50808eea5919bb6e?cid=0e18970867524f1fba6634279dd9e5b2,0,0.132,0.571,0.653,123.629,0.575,0.733,0.369,-10.512,0.0308
3522,10605,Ghosthunters,Ralf Wengenmayr,Ghosthunters OST,Fjoersen's Prologue,https://p.scdn.co/mp3-preview/f5c30ef63944351fca51e2729ac7439cdb2aadaf?cid=0e18970867524f1fba6634279dd9e5b2,0,0.935,0.124,0.128,72.175,0.0317,0.936,0.0727,-22.256,0.0425
3528,10667,Tommy,Martin Landquist,Tommy - Soundrack,FIRE,https://p.scdn.co/mp3-preview/87ab29a0fbf001aad87a62485c9a6ebd0495239d?cid=0e18970867524f1fba6634279dd9e5b2,0,0.448,0.147,0.202,73.943,0.0356,0.922,0.138,-16.403,0.0567
3529,10669,"Sincerely, Brenda",Alfredo Sirica,"Sincerely, Brenda (Original Soundtrack)",Father and Son,https://p.scdn.co/mp3-preview/bee4a133d2b6a6049acd8f9e4f9fd84a568c9ee8?cid=0e18970867524f1fba6634279dd9e5b2,4,0.948,0.218,0.0953,168.632,0.129,0.969,0.0817,-19.662,0.0368
3532,10700,Cassidy Way,David Bateman,Cassidy Way,Family Afternoon,https://p.scdn.co/mp3-preview/f834171ed97015772e4b8940f027656c0cd9bd0f?cid=0e18970867524f1fba6634279dd9e5b2,0,0.978,0.234,0.0554,131.596,0.0395,0.892,0.0653,-20.309,0.0379
3539,10749,Beneath the 12-Mile Reef,Bernard Herrmann,Beneath the 12-Mile Reef (Original Motion Picture Soundtrack),The Sea,https://p.scdn.co/mp3-preview/57fa29731d3a5b6f3d3361379b2f429d8a97360d?cid=0e18970867524f1fba6634279dd9e5b2,0,0.711,0.203,0.257,87.618,0.122,0.923,0.164,-13.891,0.0307
3540,10752,The Taming of the Shrew,Nino Rota,The Taming of the Shrew: Scenes from the Motion Picture,The Argument,https://p.scdn.co/mp3-preview/50984640f02e2ef3846f54af0a418bbf31517a75?cid=0e18970867524f1fba6634279dd9e5b2,0,0.758,0.633,0.545,110.095,0.362,0,0.68,-11.396,0.883
3541,10765,Eternal Salvation,Joshua Mosley,Eternal Salvation (Music from the Motion Picture),Eternal Salvation (Music from the Motion Picture),https://p.scdn.co/mp3-preview/734f77563609147317a50c28bda048d6b8711e06?cid=0e18970867524f1fba6634279dd9e5b2,2,0.715,0.527,0.509,140.023,0.322,0,0.109,-6.422,0.0272
3553,10879,Such Good People,Jonathan Dinerstein,Such Good People (Original Soundtrack),Main Titles,https://p.scdn.co/mp3-preview/46d2f7d3ffa6303915679a33b7ccf8de4e879107?cid=0e18970867524f1fba6634279dd9e5b2,0,0.252,0.474,0.44,94.78,0.29,0.0698,0.294,-11.972,0.0367
3558,10899,Swami,Nitin Arora,Swami (Original Motion Picture Soundtrack),Shubharambh,https://p.scdn.co/mp3-preview/714d4644319deff7b007e76771962c271d0923d0?cid=0e18970867524f1fba6634279dd9e5b2,0,0.678,0.59,0.128,102.012,0.253,0.912,0.218,-22.887,0.0284
3559,10905,The Pagan Queen,Benedikt Brydern,The Pagan Queen - Original Motion Picture Soundtrack,Main Title,https://p.scdn.co/mp3-preview/76182db460e33889fc6bfa6e91952b18a872bd88?cid=0e18970867524f1fba6634279dd9e5b2,0,0.864,0.161,0.2,57.888,0.0373,0.891,0.0764,-18.64,0.0366
3561,10910,First We Take Brooklyn,Lionel Cohen,First We Take Brooklyn (Original Motion Picture Soundtrack),First We Take Brooklyn,https://p.scdn.co/mp3-preview/e19d16d6d105adb45b2e8d7828122f14b23bd30e?cid=0e18970867524f1fba6634279dd9e5b2,1,0.191,0.646,0.24,128.012,0.109,0.869,0.0879,-18.544,0.0335
3570,10987,Trigger Point,Andrew Lockington,Trigger Point (Original Motion Picture Soundtrack),Still in the Deep,https://p.scdn.co/mp3-preview/4bbd73691519387a96801c8268d1eaa75be9b792?cid=0e18970867524f1fba6634279dd9e5b2,9,0.684,0.508,0.507,140.103,0.0873,0.888,0.109,-11.257,0.0306
3571,10994,Varan the Unbelievable,Akira Ifukube,Varan the Unbelievable (Original Motion Picture Soundtrack),Main Title,https://p.scdn.co/mp3-preview/acc41de443842fd0870967c510e3a95a524eb591?cid=0e18970867524f1fba6634279dd9e5b2,6,0.975,0.252,0.63,125.085,0.0752,0.568,0.261,-10.694,0.0529
3573,11027,Come Morning,Justin Slaughter,Come Morning Soundtrack,Washer in the Ford,https://p.scdn.co/mp3-preview/d2b0dfb81d1cbe0f67103aea5b0b54ba4c727895?cid=0e18970867524f1fba6634279dd9e5b2,25,0.995,0.29,0.00244,74.158,0.0347,0.968,0.11,-29.147,0.0508
3578,11068,Horsehead,Benjamin Shielden,Horsehead (Original Motion Picture Sountrack),Sleep Paralysis,https://p.scdn.co/mp3-preview/f9e5c2c64de7a293ccc34351b8cf4628bd106ec1?cid=0e18970867524f1fba6634279dd9e5b2,0,0.683,0.172,0.399,90.289,0.0512,0.904,0.125,-17.2,0.0526
3579,11070,The Banker,H. Scott Salinas,The Banker (An Apple Original Motion Picture Soundtrack),Epilogue,,30,0.844,0.336,0.185,80.945,0.0878,0.699,0.0805,-20.808,0.0309
3586,11124,Mercenaries,Chris Tilton,Mercenaries 2: World in Flames (Original Soundtrack),Mercenaries 2 Main Theme,https://p.scdn.co/mp3-preview/bf08f97f95aeec297341d92d36f2bfc57e9dd9ed?cid=0e18970867524f1fba6634279dd9e5b2,9,0.885,0.319,0.716,159.615,0.305,0.941,0.202,-9.433,0.103
3588,11133,The Unwilling,Stephen Melillo,The Unwilling (Original Motion Picture Score),"Open From ""The Unwilling""",https://p.scdn.co/mp3-preview/0127e556f6748022f8ceca6d8efd6ca9e7a9beb1?cid=0e18970867524f1fba6634279dd9e5b2,0,0.69,0.142,0.0784,140.61,0.0378,0.899,0.364,-26.193,0.0407
3592,11164,Blinder,Alies Sluiter,Blinder (Original Score),Tommy?셲 Theme,https://p.scdn.co/mp3-preview/c81d0b5c69eb0f8acb7986ebf675d65dd98c5819?cid=0e18970867524f1fba6634279dd9e5b2,0,0.984,0.386,0.134,100.552,0.314,0.864,0.1,-17.505,0.0343
3595,11232,Dinosaur Island,Chuck Cirino,Dinosaur Island (Original Motion Picture Soundtrack),Dinosaur Drums / Huge Feet & Skymarch,https://p.scdn.co/mp3-preview/339cd81fa85320bd56230b1bac66f11b1b48eb28?cid=0e18970867524f1fba6634279dd9e5b2,0,0.087,0.463,0.773,121.905,0.038,0.0819,0.0721,-11.977,0.0542
3598,11252,Lobster Cop,Roc Chen,Lobster Cop (Original Motion Picture Soundtrack),Opening of Lobster Cop,https://p.scdn.co/mp3-preview/5b6b6d241051f3467f5c053bbf992a19238559b2?cid=0e18970867524f1fba6634279dd9e5b2,0,0.00862,0.694,0.22,150.259,0.34,0.849,0.112,-16.501,0.0437
3601,11271,Tracks,Garth Stevenson,Tracks (Original Motion Picture Soundtrack),Alice Springs,https://p.scdn.co/mp3-preview/54df5a3a47e4813e46a596c65baec527eda88fa0?cid=0e18970867524f1fba6634279dd9e5b2,11,0.832,0.0829,0.139,72.906,0.0367,0.912,0.094,-17.017,0.0394
3613,11384,Cherry Tree,John Gerard Walsh,Cherry Tree (Original Motion Picture Score),Cherry Tree,https://p.scdn.co/mp3-preview/e3ead77bc0cc60f5a8bb2d7b2914fdf4eb629ccd?cid=0e18970867524f1fba6634279dd9e5b2,0,0.941,0.441,0.105,77.034,0.0367,0.955,0.111,-19.051,0.03
3615,11398,The Bakken,Hanan Townshend,The Bakken (Original Motion Picture Soundtrack),Credits,https://p.scdn.co/mp3-preview/0d0a58e4f75ed49fcb92611fd32bd9f54eac4e40?cid=0e18970867524f1fba6634279dd9e5b2,3,0.572,0.155,0.181,75.892,0.0325,0.558,0.114,-17.356,0.0378
3616,11401,Trace,Kristian Brastein,Trace - Original Motion Picture Soundtrack (2016 edition),Bardaga,https://p.scdn.co/mp3-preview/d3cfadc848830122e57175e496a6874ea04cbadb?cid=0e18970867524f1fba6634279dd9e5b2,8,0.0596,0.421,0.798,87.901,0.205,0.651,0.127,-11.647,0.0567
3617,11403,Hope Lost,Piero Antolini,Hope Lost (colonna sonora originale del film),91 percent,https://p.scdn.co/mp3-preview/ee78e88b030e5626f2d84735b6ac9f640e1a6f21?cid=0e18970867524f1fba6634279dd9e5b2,0,0.961,0.088,0.0187,70.945,0.0299,0.965,0.0819,-35.655,0.0509
3627,11469,Retornos,Sergio  Moure,Retornos,T챠tulos,https://p.scdn.co/mp3-preview/55ac2d28aae2327f0cd4628f24ab228e186f9ba7?cid=0e18970867524f1fba6634279dd9e5b2,0,0.887,0.377,0.209,96.048,0.053,0.956,0.0929,-16.884,0.0317
3628,11474,Stash House,Luis Ascanio,Stash House (Original Motion Picture Soundtrack),David,https://p.scdn.co/mp3-preview/083f667bf446b1195c3728ca4e1c7f64cfe153d7?cid=0e18970867524f1fba6634279dd9e5b2,0,0.184,0.283,0.399,132.066,0.0364,0.901,0.668,-20.649,0.0714
3630,11487,Life Guidance,Manfred Plessl,Life Guidance - Original Score,Alex's Theme Credit Against Collateral,https://p.scdn.co/mp3-preview/35766cc4472853b4ff149bb3e0e146a7196c2028?cid=0e18970867524f1fba6634279dd9e5b2,0,0.9,0.224,0.216,83.503,0.106,0.633,0.0973,-21.835,0.0463
3631,11493,Alter Egos,Sean Lennon,Alter Egos,My Hero,https://p.scdn.co/mp3-preview/403c966c1af24be4524e296d800301a561a09482?cid=0e18970867524f1fba6634279dd9e5b2,1,0.589,0.643,0.367,113.961,0.586,0,0.47,-11.719,0.0314
3632,11494,The Night Crew,Kevin Riepl,The Night Crew (Original Motion Picture Soundtrack),She's Gone,https://p.scdn.co/mp3-preview/c9651afff0236ee5639ad7598953de308e5022b6?cid=0e18970867524f1fba6634279dd9e5b2,9,0.427,0.136,0.267,175.335,0.0353,0.714,0.347,-20.233,0.0448
3633,11507,Everything's Jake,Christopher North,Everything's Jake,Hooded,https://p.scdn.co/mp3-preview/778fb9a63c99dffe6344e877984546c3e4d919f1?cid=0e18970867524f1fba6634279dd9e5b2,0,0.638,0.367,0.105,113.196,0.0315,0.934,0.073,-26.081,0.0374
3635,11551,The Rendezvous,Austin Wintory,The Rendezvous,Strangely in Love,https://p.scdn.co/mp3-preview/831f20b989fe14cd9bf4dfdf5dddc11f9d07ed27?cid=0e18970867524f1fba6634279dd9e5b2,4,0.904,0.227,0.17,89.635,0.0741,0.905,0.16,-19.699,0.0475
3640,11625,Munchie,Chuck Cirino,Munchie (Original Motion Picture Soundtrack),Opening Chase,https://p.scdn.co/mp3-preview/e8cf8d0d77903f93fac86d4606b499fd736a1305?cid=0e18970867524f1fba6634279dd9e5b2,0,0.482,0.389,0.486,124.905,0.329,0.364,0.134,-13.77,0.0312
3642,11643,Lost for Words,Andre Matthias,Lost for Words (Original Motion Picture Soundtrack),A New City,https://p.scdn.co/mp3-preview/410881696eb97bab0ce267866d8477374576f8fc?cid=0e18970867524f1fba6634279dd9e5b2,0,0.244,0.227,0.312,120.084,0.179,0.855,0.113,-16.119,0.0361
3644,11661,Virgin Witch,Ted Dicks,Virgin Witch (Original Motion Picture Soundtrack),Virgin Witch 1,https://p.scdn.co/mp3-preview/aab522429e84bf9e0b683b3b36f2cfa8e16349d7?cid=0e18970867524f1fba6634279dd9e5b2,1,0.857,0.369,0.23,89.862,0.136,0.917,0.15,-15.603,0.0382
3649,11685,Six Gun Savior,Charles-Henri Avelange,Six Gun Savior (Original Motion Picture Soundtrack),Six Gun Overture,https://p.scdn.co/mp3-preview/8708d5f7c1a44e46c9a34b2fc8db181f56de1c20?cid=0e18970867524f1fba6634279dd9e5b2,0,0.411,0.225,0.235,90.272,0.18,0.882,0.111,-19.07,0.0372
3653,11726,Once Fallen,Jeff Beal,Once Fallen (Original Motion Picture Soundtrack),Once Fallen,https://p.scdn.co/mp3-preview/5c0d956b3e35237b34452ae4b9374bbbdea2ace4?cid=0e18970867524f1fba6634279dd9e5b2,1,0.638,0.616,0.193,129.558,0.128,0.872,0.0817,-21.459,0.0316
3655,11757,Dead Souls,Jonathan Bartz,Dead Souls (Soundtrack from the Chiller Original Movie),The Spider and the Fly,https://p.scdn.co/mp3-preview/1065cc455d6c1033610181ff44d2e9adbcc1caa7?cid=0e18970867524f1fba6634279dd9e5b2,0,0.853,0.134,0.18,80.262,0.0973,0.741,0.107,-20.592,0.0378
3656,11773,Lizzie,Jeff Russo,Lizzie (Original Motion Picture Soundtrack),End Credits (Lizzie Suite),https://p.scdn.co/mp3-preview/5b283f762a2f54d3c99cbd01a9a8813de43eec6d?cid=0e18970867524f1fba6634279dd9e5b2,15,0.929,0.107,0.0567,70.01,0.0337,0.908,0.12,-23.294,0.0475
3659,11805,Kaashmora,Santhosh Narayanan,Kaashmora (Original Motion Picture Soundtrack),Oyaa Oyaa,https://p.scdn.co/mp3-preview/55410adeea2215d9c0ada936abae6b6528f014fe?cid=0e18970867524f1fba6634279dd9e5b2,34,0.83,0.575,0.696,110.523,0.514,0.0192,0.0946,-6.575,0.241
3664,11896,Huk!,Albert Glasser,Huk! (Original Motion Picture Soundtrack),Prologue / Main Title,https://p.scdn.co/mp3-preview/0c6054d2513b36b85f11c9877a0dbccf2e32ae51?cid=0e18970867524f1fba6634279dd9e5b2,0,0.874,0.269,0.35,128.456,0.124,0.138,0.143,-9.147,0.0449
3665,11897,The Doll Squad,Nicholas Carras,The Doll Squad,Doll Squad Theme,https://p.scdn.co/mp3-preview/c8ee97aca9deceea756c7cad677b1bc088e4fd3c?cid=0e18970867524f1fba6634279dd9e5b2,1,0.428,0.61,0.578,119.873,0.701,0.0269,0.0947,-10.648,0.0377
3670,11918,The Borrowers,Rod McKuen,Mary Norton's Family Classic The Borrowers (Original Motion Picture Score),Isn't It Something,,1,0.857,0.512,0.163,103.298,0.19,1.05E-05,0.109,-16.727,0.0346
3671,11920,Sorceress,Chuck Cirino,Sorceress (Original Motion Picture Soundtrack),Prologue and The Accident,https://p.scdn.co/mp3-preview/210e16be90e4d19f649a154992973032502ef8cd?cid=0e18970867524f1fba6634279dd9e5b2,0,0.722,0.334,0.278,110.065,0.0366,0.934,0.107,-15.587,0.0342
3673,11940,Remember Me,Olivier Deriviere,Remember Me (feat. Philharmonia Orchestra) [Original Soundtrack],Nilin the Memory Hunter,https://p.scdn.co/mp3-preview/8227cb1b0ed7bdb6f667b66eb198f27e18ee2b9b?cid=0e18970867524f1fba6634279dd9e5b2,18,0.672,0.498,0.748,143.998,0.0785,0.818,0.295,-9.437,0.1
3675,11957,Chu and Blossom,Rob Simonsen,Chu and Blossom (Original Motion Picture Soundtrack),Joon Arrives,https://p.scdn.co/mp3-preview/ba5c2c1893ea058933619b2993cdb007b1496ab1?cid=0e18970867524f1fba6634279dd9e5b2,4,0.691,0.806,0.177,98.051,0.345,0.538,0.0787,-16.952,0.0577
3683,12020,Hired to Kill,Jerry Grant,Hired to Kill (Original Motion Picture Soundtrack),Fanfare and Fireworks,https://p.scdn.co/mp3-preview/a9e4d201824d81077da953d1f15d7dda975be914?cid=0e18970867524f1fba6634279dd9e5b2,0,0.444,0.535,0.452,124.777,0.168,0.654,0.145,-9.921,0.0301
3685,12029,Suicide Squad,Steven Price,Suicide Squad (Original Motion Picture Score),Task Force X,https://p.scdn.co/mp3-preview/b9364ce173c37ddfabfa00a27857dbfda951aaab?cid=0e18970867524f1fba6634279dd9e5b2,17,0.243,0.522,0.655,87.056,0.111,0.955,0.152,-9.175,0.027
3689,12050,Operator,Sage Lewis,Operator (Original Motion Picture Soundtrack),"For Once in My Life, Fight",https://p.scdn.co/mp3-preview/f9594f69e337f14ef9b513651dc36ddf8ccac01b?cid=0e18970867524f1fba6634279dd9e5b2,1,0.894,0.278,0.147,169.664,0.0985,0.000547,0.199,-15,0.0431
3694,12110,The Dead Matter,Midnight Syndicate,The Dead Matter: Original Motion Picture Soundtrack,Sleep,https://p.scdn.co/mp3-preview/2925620b7306e84e7e79c48f931d0ccc82cfaedc?cid=0e18970867524f1fba6634279dd9e5b2,16,0.953,0.143,0.0327,74.551,0.0329,0.664,0.11,-34.084,0.0495
3695,12119,Hollywood Musical!,D.D. Jackson,Hollywood Musical! (Original Motion Picture Soundtrack),Just Another Day in Hell A,https://p.scdn.co/mp3-preview/206b58b19bc6b5fe25d7256898be1ec6e4a305f8?cid=0e18970867524f1fba6634279dd9e5b2,0,0.0891,0.481,0.842,143.956,0.665,0,0.0716,-6.796,0.0727
3696,12141,Barracuda,Bryony Marks,Barracuda (Original TV Soundtrack),EP 1 Prologue (feat. Shane O'mara),https://p.scdn.co/mp3-preview/6d5bdbc67a185c76ff92cce4bddd32ba6f24d277?cid=0e18970867524f1fba6634279dd9e5b2,1,0.93,0.595,0.179,101.99,0.0639,0.922,0.0828,-19.069,0.0356
3705,12290,Aap Ki Khatir,Himesh Reshammiya,Himesh Reshammiya - Aap Ki Khatir,"Aap Ki Khatir (From ""Aap Ki Khatir"")",https://p.scdn.co/mp3-preview/a250e8d2c088fd5b77457e130eba75e01220b7c2?cid=0e18970867524f1fba6634279dd9e5b2,16,0.00309,0.755,0.67,119.997,0.856,0,0.0674,-11.099,0.0426
3707,12303,Manos: The Hands of Fate,Russ Huddleston,Manos: The Hands of Fate (Original Soundtrack),Forgetting You (Love Theme from Manos: The Hands of Fate),https://p.scdn.co/mp3-preview/3abde09ca1160d834762a99545b6db91710ea1b3?cid=0e18970867524f1fba6634279dd9e5b2,7,0.982,0.457,0.0146,109.625,0.277,0.00433,0.16,-35.105,0.0358
3709,12312,Shattered Sky,Steve Steckler,Shattered Sky (Original Motion Picture Soundtrack),The Ozone Hole Changes Everything,https://p.scdn.co/mp3-preview/2085edfb5847db39bbd510927ca8c5bc2d10ba59?cid=0e18970867524f1fba6634279dd9e5b2,0,0.704,0.51,0.495,149.788,0.0354,0.92,0.111,-16.634,0.0775
3715,12372,Hope Dances,Matthew A.C. Cohen,Hope Dances (Original Motion Picture Soundtrack),Hope Dances,https://p.scdn.co/mp3-preview/cf864135818e9c597d2aa3a8776cba22050523b6?cid=0e18970867524f1fba6634279dd9e5b2,1,0.902,0.582,0.633,124.952,0.037,0.9,0.151,-11.134,0.0361
3717,12401,Nightmare,Don Banks,Nightmare (Original Movie Soundtrack),Nightmare - Main Title,https://p.scdn.co/mp3-preview/c3ae83adc4c6efaf16004f483b41aa73341d34dd?cid=0e18970867524f1fba6634279dd9e5b2,0,0.849,0.199,0.429,85.769,0.15,0.377,0.669,-10.888,0.0564
3719,12434,Clowntergeist,Kris Bendrick,Clowntergeist (Original Motion Picture Soundtrack),A Thousand Red Balloons,https://p.scdn.co/mp3-preview/5cb0a9b96638c58ef496d934e6c32bb68354ff5a?cid=0e18970867524f1fba6634279dd9e5b2,0,0.483,0.202,0.00126,66.473,0.0306,0.947,0.0761,-28.926,0.0496
3721,12453,Within,Jeff Toyne,Within (Original Motion Picture Soundtrack),Within Main Titles,https://p.scdn.co/mp3-preview/59cf10158a6df3661589460ba21bef98fa2a8f2e?cid=0e18970867524f1fba6634279dd9e5b2,0,0.89,0.193,0.0882,71.185,0.0367,0.581,0.0516,-26.29,0.0333
3723,12463,Kickboxer,Paul Hertzog,Kickboxer: The Deluxe Edition Soundtrack,Advanced Training,https://p.scdn.co/mp3-preview/470510ac6aa1c288ed6c3cd1e2674a2c10902759?cid=0e18970867524f1fba6634279dd9e5b2,45,0.0036,0.251,0.556,96.642,0.146,0.883,0.232,-10.97,0.027
