ID,title,acousticness,danceability,energy,tempo,valence,instrumentalness,liveness,loudness,speechiness,cluster,feature_list
3610,A Simple Favor,0.444775738,0.369349504,0.230663249,0.449098781,0.136690647,0.704819277,0.116170461,0.597747715,0.03574514,0,"[0.4447757382941507, 0.3693495038588754, 0.23066324873310856, 0.4490987806624805, 0.1366906474820144, 0.7048192771084338, 0.11617046117921775, 0.5977477151607224, 0.035745140388768894]"
3612,Loving Vincent,0.934738559,0.30429989,0.282958034,0.396665881,0.165467626,0,0.104495038,0.7226603,0.041468683,2,"[0.9347385587506688, 0.30429988974641675, 0.28295803444013906, 0.39666588118967416, 0.16546762589928055, 0.0, 0.10449503794512548, 0.7226603004654077, 0.04146868250539956]"
3614,Honeyland,0.825300142,0.471885336,0.389558944,0.585508412,0.035251799,0.725903614,0.246935201,0.634522173,0.066738661,3,"[0.8253001418864057, 0.4718853362734288, 0.38955894376600897, 0.5855084115344986, 0.03525179856115108, 0.7259036144578314, 0.24693520140105074, 0.6345221731896113, 0.06673866090712742]"
3616,Abominable,0.782127188,0.368246968,0.515267563,0.443027506,0.1336074,0.93875502,0.123175715,0.664062312,0.05075594,3,"[0.7821271884445402, 0.3682469680264608, 0.5152675632540632, 0.4430275055560946, 0.13360739979445016, 0.9387550200803214, 0.1231757151196731, 0.6640623116062601, 0.050755939524838006]"
3618,Hotel Mumbai,0.887549517,0.22491731,0.226640573,0.359438892,0.036176773,0.833333333,0.082545242,0.69700258,0.04600432,3,"[0.8875495166165369, 0.22491730981256888, 0.22664057290949086, 0.3594388922002135, 0.03617677286742035, 0.8333333333333334, 0.0825452422650321, 0.6970025802406616, 0.04600431965442764]"
3620,Ninja Scroll,0.598391131,0.525909592,0.27792969,0.701740525,0.209660843,0.000104418,0.059661413,0.672068292,0.029157667,2,"[0.5983911307733459, 0.5259095920617419, 0.2779296896606169, 0.7017405246062219, 0.20966084275436792, 0.00010441767068273092, 0.059661412726211324, 0.6720682919771395, 0.029157667386609076]"
3624,Embrace of the Serpent,0.955823024,0.525909592,0.028724922,0.439063157,0.056320658,0.822289157,0.092819615,0.404928983,0.033585313,3,"[0.9558230243850682, 0.5259095920617419, 0.028724922387498325, 0.43906315697064624, 0.056320657759506676, 0.8222891566265061, 0.09281961471103327, 0.4049289830958065, 0.033585313174946]"
3628,Notes on a Scandal,0.905621916,0.183020948,0.187419484,0.279167764,0.094552929,0.896586345,0.099824869,0.548843715,0.036825054,3,"[0.9056219157317364, 0.18302094818081585, 0.18741948362921795, 0.2791677640242297, 0.0945529290853032, 0.8965863453815262, 0.09982486865148862, 0.5488437145819769, 0.03682505399568034]"
3629,Star Trek VI: The Undiscovered Country,0.863452984,0.21168688,0.269884338,0.612810668,0.07975334,0.904618474,0.107997665,0.562516579,0.044708423,3,"[0.8634529844629377, 0.21168687982359424, 0.26988433801338146, 0.6128106677016479, 0.07975334018499486, 0.9046184738955824, 0.10799766491535318, 0.5625165786491113, 0.0447084233261339]"
3635,The Way Back,0.90762996,0.156560088,0.170323111,0.440768104,0.035457348,0.93875502,0.082078225,0.649424872,0.039200864,3,"[0.9076299600778696, 0.15656008820286654, 0.17032311137884254, 0.4407681040895628, 0.0354573484069887, 0.9387550200803214, 0.08207822533566841, 0.6494248715908268, 0.03920086393088552]"
3638,The Biggest Little Farm,0.922690293,0.080705623,0.209544201,0.272865466,0.03946557,0.912650602,0.115002919,0.645663025,0.042656587,3,"[0.9226902926738692, 0.0807056229327453, 0.20954420065911544, 0.2728654662730041, 0.039465570400822186, 0.9126506024096386, 0.11500291885580853, 0.6456630253924618, 0.04265658747300216]"
3639,Lucky,0.831324275,0.863285557,0.496159853,0.507376553,0.424460432,0.918674699,0.214244016,0.70324821,0.064902808,0,"[0.8313242749248053, 0.8632855567805952, 0.4961598530918789, 0.50737655304973, 0.4244604316546762, 0.9186746987951808, 0.2142440163455925, 0.7032482095058958, 0.06490280777537796]"
3642,If Beale Street Could Talk,0.887549517,0.168687982,0.16227776,0.317582209,0.060020555,0.946787149,0.096322242,0.568738094,0.046328294,3,"[0.8875495166165369, 0.16868798235942667, 0.1622777597316071, 0.31758220940816617, 0.060020554984583765, 0.9467871485943776, 0.09632224168126094, 0.5687380935156381, 0.04632829373650108]"
3651,The Sisters Brothers,0.914658115,0.194046307,0.043105988,0.791913283,0.196300103,0.889558233,0.088149445,0.416720924,0.039740821,3,"[0.9146581152893362, 0.1940463065049614, 0.043105988456931726, 0.791913283340033, 0.1963001027749229, 0.8895582329317269, 0.08814944541739636, 0.4167209240637584, 0.03974082073434125]"
3653,Monos,0.992971845,0.298787211,0.282958034,0.560354666,0.036998972,0.960843373,0.085814361,0.553714823,0.047840173,3,"[0.9929718447885336, 0.298787210584344, 0.28295803444013906, 0.5603546659643578, 0.03699897225077082, 0.960843373493976, 0.08581436077057791, 0.5537148231208854, 0.0478401727861771]"
3657,Hud,0.995983911,0.450937155,0.020579004,0.342255428,0.135662898,0.87248996,0.095154699,0.281005088,0.067926566,3,"[0.9959839113077336, 0.4509371554575523, 0.020579003844672424, 0.3422554278770405, 0.13566289825282632, 0.8724899598393576, 0.09515469935785173, 0.2810050881381272, 0.06792656587473002]"
3658,Vice,0.06405053,0.442116869,0.455933095,0.480120501,0.038437821,0.939759036,0.124343257,0.659986978,0.041576674,0,"[0.06405053026728255, 0.4421168687982359, 0.4559330948557016, 0.4801205014115484, 0.03843782117163412, 0.9397590361445785, 0.1243432574430823, 0.6599869782246979, 0.041576673866090715]"
3662,Cartel Land,0.002092322,0.691289967,0.757633782,0.794764103,0.478931141,0.000162651,0.134851138,0.885022547,0.239740821,1,"[0.002092321967340484, 0.691289966923925, 0.7576337816270317, 0.7947641027773542, 0.4789311408016444, 0.00016265060240963858, 0.13485113835376533, 0.8850225469627914, 0.23974082073434125]"
